name	gender	region	1920	1925	1930	1935	1940	1945	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015	2020
BOLESLAVS	boys	latvia	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOĻESLAVS	boys	latvia	58	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BORISS	boys	latvia	77	93	94	94	90	44	43	44	63	63	81	96	0	0	0	0	0	0	0	0	0
ARVIS	boys	latvia	0	0	0	0	0	0	0	0	0	0	99	0	100	95	100	88	0	0	0	0	0
ARVĪDS	boys	latvia	5	5	7	18	20	26	32	43	58	70	0	0	0	0	0	0	0	0	0	0	0
ATIS	boys	latvia	0	0	0	0	95	0	0	0	0	99	87	99	95	92	0	0	0	0	0	0	0
RAIMONDS	boys	latvia	0	60	45	50	45	54	69	38	36	25	16	19	28	33	48	49	71	0	95	0	0
RAINERS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	41	74	0	0
RAITIS	boys	latvia	0	0	0	0	0	0	0	98	82	54	68	69	70	62	70	66	84	0	0	0	0
RAIVIS	boys	latvia	0	0	0	0	0	0	0	0	0	0	95	42	35	31	38	30	46	53	78	0	0
RINALDS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	67	61	81	84	0
RITVARS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	95	96	97	92	81	83	0	0	0	0
ROLANDS	boys	latvia	0	69	84	81	84	79	88	83	89	66	54	55	38	35	39	38	40	64	82	95	0
ROMANS	boys	latvia	0	0	0	0	0	0	0	0	0	0	83	64	54	63	66	90	0	96	93	92	0
ROMĀNS	boys	latvia	0	0	0	0	0	0	0	0	0	81	72	57	50	55	54	60	96	0	0	0	0
ROMUALDS	boys	latvia	0	0	0	84	85	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUSLANS	boys	latvia	0	0	0	0	0	0	0	0	0	0	71	32	32	45	53	74	86	80	97	0	0
SANDIS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	54	39	44	45	36	36	72	0	0	0
SANDRIS	boys	latvia	0	0	0	0	0	0	0	0	0	0	69	60	81	93	0	0	0	0	0	0	0
SERGEJS	boys	latvia	76	99	92	97	75	55	20	8	6	5	3	3	4	5	9	22	39	63	90	0	0
