name	gender	region	1920	1925	1930	1935	1940	1945	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015	2020
ARITA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0
ARTA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	68	74	0	0	0	0
ASTRA	girls	latvia	0	0	0	88	78	93	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASTRĪDA	girls	latvia	0	0	89	44	47	42	55	57	82	0	0	0	0	0	0	0	0	0	0	0	0
AUSMA	girls	latvia	53	11	4	4	6	26	45	56	84	0	0	0	0	0	0	0	0	0	0	0	0
AUSTRA	girls	latvia	19	14	23	31	43	74	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ĀRIJA	girls	latvia	82	44	18	14	22	35	41	55	92	0	0	0	0	0	0	0	0	0	0	0	0
BAIBA	girls	latvia	0	0	0	0	85	66	61	51	56	57	56	22	19	22	23	36	85	0	0	0	0
GITA	girls	latvia	0	0	0	0	0	0	0	0	90	48	65	58	48	56	76	0	0	0	0	0	0
GUNA	girls	latvia	0	0	99	0	0	0	0	0	73	70	91	0	88	65	90	0	0	0	0	0	0
GUNDEGA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	81	89	0	0	0	0	0	0	0	0
GUNITA	girls	latvia	0	0	0	0	0	0	0	0	0	0	44	39	53	57	98	0	0	0	0	0	0
GUNTA	girls	latvia	0	0	0	55	46	24	18	8	15	28	41	50	65	73	96	0	0	0	0	0	0
HELENA	girls	latvia	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELĒNA	girls	latvia	11	19	22	27	45	64	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HERMĪNE	girls	latvia	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HERTA	girls	latvia	38	52	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HILDA	girls	latvia	64	68	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILGA	girls	latvia	41	18	9	9	13	21	35	50	59	73	99	0	0	0	0	0	0	0	0	0	0
ILONA	girls	latvia	0	0	0	0	0	0	96	76	40	20	9	12	25	35	44	79	0	0	0	0	0
ILUTA	girls	latvia	0	0	0	0	0	0	0	0	0	0	81	88	0	0	0	0	0	0	0	0	0
ILVA	girls	latvia	0	0	0	0	0	0	0	0	0	0	71	94	0	0	0	0	0	0	0	0	0
ILZE	girls	latvia	0	0	0	0	50	38	47	42	23	13	6	8	6	8	21	27	79	0	0	0	0
LIDIJA	girls	latvia	21	20	17	13	14	12	17	28	47	88	0	0	0	0	0	0	0	0	0	0	0
LIENE	girls	latvia	0	0	0	0	0	0	0	0	0	0	76	28	24	15	18	25	62	78	90	0	0
LIGITA	girls	latvia	0	0	0	0	0	51	42	29	33	42	72	82	95	0	0	0	0	0	0	0	0
LIJA	girls	latvia	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LILIJA	girls	latvia	26	32	28	36	38	44	37	43	51	63	0	0	0	0	0	0	0	0	0	0	0
LILITA	girls	latvia	0	0	0	0	82	87	64	60	66	68	97	0	0	0	0	0	0	0	0	0	0
LĪGA	girls	latvia	0	0	0	0	98	79	59	53	34	29	18	15	12	6	4	15	34	62	76	94	0
LĪNA	girls	latvia	56	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LĪVIJA	girls	latvia	0	61	56	52	44	55	68	74	0	0	0	0	0	0	0	0	0	0	0	0	0
LOLITA	girls	latvia	0	0	0	0	0	0	0	0	68	60	78	86	0	0	0	0	0	0	0	0	0
LONIJA	girls	latvia	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LUCIJA	girls	latvia	0	99	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LUDMILA	girls	latvia	0	0	0	0	0	25	2	4	10	17	21	25	35	53	89	0	0	0	0	0	0
LŪCIJA	girls	latvia	27	33	43	28	42	54	73	84	0	0	0	0	0	0	0	0	0	0	0	0	0
ĻUBOVA	girls	latvia	65	75	83	91	96	77	43	45	55	79	0	90	85	92	0	0	0	0	0	0	0
MAIGA	girls	latvia	42	27	25	30	52	85	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MALVĪNE	girls	latvia	79	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARFA	girls	latvia	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARGARITA	girls	latvia	0	0	0	0	0	0	93	87	88	0	0	0	73	69	65	70	71	84	63	83	0
MARIKA	girls	latvia	0	0	0	0	0	0	0	0	0	100	85	64	70	0	0	0	0	0	0	0	0
MARINA	girls	latvia	0	0	0	0	0	0	0	81	20	14	20	20	16	25	38	69	97	0	0	0	0
MARITA	girls	latvia	0	0	0	0	0	0	0	0	96	82	96	0	97	0	0	0	0	0	0	0	0
MARUTA	girls	latvia	0	0	0	0	90	73	70	66	79	90	0	0	0	0	0	0	0	0	0	0	0
SARMĪTE	girls	latvia	0	0	0	96	70	58	49	21	13	21	27	45	72	0	0	0	0	0	0	0	0
SIGITA	girls	latvia	0	0	0	0	0	0	0	0	0	0	66	68	67	72	77	77	0	0	0	0	0
SIGNE	girls	latvia	0	0	0	0	0	0	0	0	0	0	89	0	0	84	63	58	89	0	0	0	0
SILVIJA	girls	latvia	0	80	63	35	18	16	20	19	35	58	0	0	0	0	0	0	0	0	0	0	0
SIMONA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	72	92	0	0	0
SINDIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	43	60	85	0	0
SINTIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	47	48	12	9	22	41	71	0	0
SKAIDRĪTE	girls	latvia	49	24	12	17	11	13	28	36	53	64	0	0	0	0	0	0	0	0	0	0	0
SOFJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	95	0	0
SOLVITA	girls	latvia	0	0	0	0	0	0	0	0	0	81	31	37	51	63	91	0	0	0	0	0	0
STAŅISLAVA	girls	latvia	81	58	69	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVETLANA	girls	latvia	0	0	0	0	0	53	12	6	4	1	2	6	9	20	37	81	0	0	0	0	0
TAMĀRA	girls	latvia	78	78	81	71	61	32	13	20	46	71	0	0	0	0	0	0	0	0	0	0	0
TATJANA	girls	latvia	54	57	62	60	56	33	4	1	1	6	3	7	7	7	24	47	77	0	0	0	0
TEKLA	girls	latvia	18	30	39	56	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TĪNA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	57	0	0
UNA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	65	87	0	0	0
AGNESE	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	27	15	17	17	16	27	49	55	65	0
MĀRĪTE	girls	latvia	0	0	0	0	0	30	11	18	36	51	54	55	74	88	0	0	0	0	0	0	0
